Ponded Water,Distance,Bulk Density,Concentration,Porosity,Hydraulic Conductivity,Dispersivity,Type-1 Sorption Fraction,Adsorption Coefficient,Type-2 Sorption Reaction Rate,Flux,Horizontal,Particle Density,Degree of Saturation,Relative Velocity,Saturation
0.0,1.0,0.7935286201083116,0.24981245311327835,0.6356320566231619,0.7216190978514093,0.9474361541478313,0.5646692607039115,0.9875233847747401,0.03178870564427007,0.04,0.0,0.8179127794565506,0.9989116124553283,0.21364332684799772,True
1.0,0.411764705882353,0.8105367832490131,0.0622655663915979,0.5327240672134783,0.559345402325276,0.002166974334578225,0.24582536495208082,0.11765274909292131,0.1592896328809482,0.0,1.0,0.7488122960166095,0.9999447022985899,0.6792658027529356,True
0.6,1.0,0.6200613531504855,0.0,0.3287835349792467,0.7339836021146617,0.24725578212486604,0.14742850126759893,0.006334201085828878,0.18588935608359397,0.0,1.0,0.4479000740236314,0.9999546758018538,0.9364499145562007,True
0.0,0.0,0.7400377925173203,0.24981245311327835,0.4118161764158321,0.6367706872359679,0.26904758554815844,0.9040480580829778,0.4526841477803031,0.40029067287688513,0.1,0.0,0.6009112565150367,0.9992835265927287,0.3561365731106041,True
0.6,1.0,0.6355826730605534,1.0,0.5539071158474167,0.5050244335504306,0.010814667232566678,0.11363594933662777,0.8221281532082766,0.0631634706511322,0.0,1.0,0.6298275090581704,0.999975085816168,0.2403438773868711,True
0.0,0.411764705882353,0.3569132172963121,0.0622655663915979,0.674974139851988,0.7883452390439425,0.29181545162410016,0.05012272846609523,0.009321357653233643,0.2511241852849452,0.02,0.0,0.5058059820642189,0.9999057121806978,0.9391880661703684,True
0.0,0.08823529411764708,0.04025401971569664,0.0622655663915979,0.3909276899595726,0.7462590699621188,0.2576346442226227,0.8098185235909188,0.009946681336680977,0.14643661599423,0.04,0.0,0.05298235406106233,0.9999515726543948,0.927281421893977,True
1.0,0.0,0.5409254160742138,0.0622655663915979,0.399189539315818,0.7364152757870579,0.05117623453636755,0.1980316530012651,0.5735075098806273,0.3317544362718165,0.0,1.0,0.4397731843017816,0.9999666785332848,0.3120051952204387,True
0.6,0.0,0.5312056346024958,0.0007501875468867217,0.38521271080624997,0.6550109221844005,0.06396140753519414,0.5500030169127065,0.1836528676724861,0.16704903083825628,0.0,1.0,0.4220758293731919,0.9999620829134122,0.6580173963561563,True
0.0,0.0,0.6483211428285847,0.0007501875468867217,0.4175865895912705,0.7454664789523798,0.24357260380332035,0.4182106762307898,0.02535339379983109,0.1538202734805849,0.02,1.0,0.5353322097906279,0.3001373499955021,0.7519452277858665,False
0.3,0.08823529411764708,0.8670502392327641,0.0622655663915979,0.6768148343640354,0.48093292439369884,0.08975802041129813,0.43207976746911386,0.7859027602649075,0.2525435140516019,0.0,1.0,0.9094079051896307,0.9999663544361921,0.24835999114982496,True
1.0,0.0,0.5252098237309637,0.0007501875468867217,0.4020927554059335,0.46302323422173164,0.07196673793819389,0.19988253287712773,0.003920352011714066,0.3140042291541772,0.0,1.0,0.42995354240839756,0.9999535388619973,0.9510111681580006,True
0.0,0.0,0.1053800692540161,0.0007501875468867217,0.32976591539276345,0.8187561640542228,0.1290805920529903,0.11359169879990648,0.08556644050604845,0.04280611811514038,0.02,0.0,0.060229539869570914,0.9999634783497124,0.7409032178811724,True
1.0,1.0,0.42982892183310284,0.0622655663915979,0.3861193976432311,0.7953494649166504,0.32883891192874526,0.3949235404424312,0.4631293595371912,0.6385459519216135,0.0,1.0,0.3457060114004573,0.9999742524748536,0.347808311426802,True
0.0,1.0,0.07041403906637012,0.24981245311327835,0.3764556514492621,0.8092263821912241,0.2833270543839627,0.8109972676662235,0.06344746535433377,0.1856014455546169,0.5,0.0,0.06590226423631318,0.9999743937771068,0.7732464695387326,True
0.0,0.0,0.5653362806952504,0.0,0.8282686060358491,0.49358718010735103,0.4331980340246504,0.09032032470100734,0.14160343828558283,0.03153964556485132,0.1,0.0,0.7944069741402959,0.9998558520263396,0.9118791907727576,True
0.6,0.0,0.5890503277993355,0.0,0.5128467550549689,0.37322324650269156,0.5016350317393629,0.10743623602602086,0.4802198754681391,0.041136966742852006,0.0,1.0,0.5621349491657615,0.9999748998529154,0.46586958409912343,True
0.3,0.0,0.13326536857713034,0.0,0.28329864795409687,0.9090114571031859,0.4840137797145778,0.2818897828010444,0.2358294463263635,0.3573746846822626,0.0,1.0,0.04946050579959316,0.9999651195712524,0.5500920272334744,True
1.0,1.0,0.46890257262381496,0.24981245311327835,0.7588478525894913,0.6960976189781221,0.4317433549335916,0.1988140276472399,0.006816911797915593,0.17369733831727693,0.0,1.0,0.6606524642948646,0.9999574178752193,0.9374546293890198,True
0.6,1.0,0.38884210826415533,0.0622655663915979,0.6480206199834004,0.9281947786063424,0.25592936347722817,0.09502933606650522,0.06085773073498532,0.1452193364276074,0.0,1.0,0.5100990960189762,0.9999694749778527,0.8083477869433364,True
0.0,0.08823529411764708,0.6239629220337299,0.0007501875468867217,0.44645711770925134,0.43362725811634206,0.057828865388133546,0.3253296646056799,0.5888290889758673,0.38097558841923546,0.02,0.0,0.5384915433995738,0.999951719273896,0.2947142148673573,True
0.0,0.411764705882353,0.5583398273996316,1.0,0.4886527493491042,0.6028959320318407,0.2507943269769698,0.4828238978435831,0.2473479062477488,0.18382060537321782,0.02,0.0,0.5200418224200298,0.9999915883780284,0.49539447723353386,True
0.0,0.08823529411764708,0.8643158196211296,1.0,0.5698824223630989,0.47193817227062074,0.025288105938531907,0.7981295521935675,0.5925145541878164,0.2646140286353864,0.5,0.0,0.8201522566893935,0.9998830949740345,0.3006114316300546,True
0.0,0.411764705882353,0.8862428754830844,0.24981245311327835,0.6749215987130857,0.22397436761780865,0.3282613514806153,0.029836515566390817,0.31418716262169144,0.20116270020796898,0.04,1.0,0.9229716361078752,0.5198481637900872,0.3238541067014632,False
0.0,0.0,0.0467782823933538,0.0,0.40458165880942243,0.8722107833206966,0.5124492750841371,0.012609881444775454,0.07014659594601158,0.09382985199133234,0.04,0.0,0.06739227697590167,0.999969620845619,0.7822972201741554,True
1.0,0.08823529411764708,0.6237951036671134,1.0,0.691249890350337,0.5174081241355281,0.4867525595774396,0.24902858541937892,0.011913744645917844,0.20860918919818933,0.0,1.0,0.7292213260660851,0.9999697698087755,0.9344841272530614,True
0.0,0.08823529411764708,0.2913433931402425,0.0,0.06015726549721201,0.8303013510154647,0.07873058873101564,0.05652890022566702,0.1192146430493043,0.2200981507079679,0.04,1.0,0.01706254286287212,0.8435223223004593,0.6418985616640056,False
0.0,0.08823529411764708,0.2544538716409095,0.0007501875468867217,0.4755246359466385,0.7782391561159469,0.2969766298200181,0.12015495459521647,0.08832395093552772,0.14302196652203958,1.0,0.0,0.2765956714447295,0.9999234160730854,0.861780248702403,True
1.0,0.411764705882353,0.4974969648797076,0.0,0.8231426128220769,0.7217855425431235,0.47762466471575515,0.4932736913167065,0.010105720552924097,0.12294824500014051,0.0,1.0,0.7356584486158324,0.9999664547384299,0.935009014896052,True
1.0,0.0,0.8965242889534029,1.0,0.6508961131220765,0.3060974226744223,0.09453241433958517,0.8921630010938851,0.9971833097469935,0.37562160493967456,0.0,1.0,0.9112285790021639,0.9999656971649424,0.20291296408056386,True
0.1,1.0,0.8914368327675195,0.24981245311327835,0.6526716237938706,0.18489342305332684,0.11264078466581826,0.20216584317718084,0.4707216946797351,0.2360090139217159,0.0,1.0,0.9086927132154914,0.9999800133515679,0.3469214152189299,True
0.0,0.0,0.5280612420486346,0.0622655663915979,0.5941430347053553,0.7464438410006591,0.446748607665615,0.9907865867382836,0.33771740885327933,0.21133160259430947,0.5,0.0,0.5774058772888031,0.9999685530485247,0.42962517980726783,True
0.0,1.0,0.7140402504277166,1.0,0.8359434254380393,0.581485494878841,0.2734864759259695,0.4732178466393271,0.9084905572994776,0.07586005787590665,0.5,1.0,0.9204512460722025,0.5466643557916174,0.1571410195279162,False
0.0,0.0,0.6352609583323519,1.0,0.33266990342165137,0.5679918601508059,0.11828343870033803,0.6116606086217357,0.30019376625050814,0.5741752289529027,0.02,0.0,0.46222684395826175,0.9996883332353819,0.44809635768116235,True
0.0,0.411764705882353,0.330067899513498,0.24981245311327835,0.27561992564781246,0.8443586245908287,0.09934013020052473,0.06893303200935787,0.382435359351093,0.25579586291767636,1.0,1.0,0.19176532591598505,0.8380003604246908,0.3569688899756405,False
0.0,0.411764705882353,0.5301448230105015,0.0622655663915979,0.8926030123499991,0.39401770705605543,0.08159096895826597,0.01313910811370118,0.09318657878225164,0.17805413374118234,0.04,1.0,0.8195512301572947,0.34114600485020885,0.5562156735137626,False
0.0,0.08823529411764708,0.8516722541726356,0.24981245311327835,0.5482514906753484,0.40043205234149915,0.04303846197576663,0.8591439793114294,0.14403010282501988,0.43539281000203517,0.5,0.0,0.7930148995760513,0.9999595730822348,0.6138835352042057,True
0.0,0.0,0.3009630124992366,0.0007501875468867217,0.15370973221310447,0.9041711992838718,0.057436171505788024,0.9866460867371561,0.03603359999312941,0.442261513087861,0.1,1.0,0.08648738799731603,0.8176699906176639,0.8149813220102705,False
1.0,1.0,0.5690740072901441,0.0007501875468867217,0.6529242719626804,0.536717593595186,0.08814418271960864,0.0748031649919877,0.10878422311011393,0.630938545988076,0.0,1.0,0.6555392283949653,0.9999623488854223,0.6862680748857665,True
0.0,1.0,0.6597779121562164,0.0,0.920487998769532,0.6290396358829835,0.49192689418119534,0.4080330064817261,0.3518186001295365,0.32444140372388774,0.04,1.0,0.9485103508451616,0.532210597739218,0.3224309455896849,False
0.0,0.08823529411764708,0.1397257147532187,0.0622655663915979,0.468825585670662,0.832050443630305,0.306257294380431,0.5790097857945512,0.00027940121763320343,0.18961780667834938,1.0,0.0,0.1836508882538448,0.9999572089337978,0.9481028357832779,True
